AdmGUIDValue_tab,DarInstitutionCode,DarBasisOfRecord,DarCatalogNumber,DarCollectorNumber,DarCollector,DarRelatedInformation,DarYearCollected,DarContinentOcean,DarCountry,DarStateProvince,DarCounty,DarLocality,DarMinimumElevation,DarMaximumElevation,DarDecimalLatitude,DarDecimalLongitude,DarGeorefMethod,DarCoordinateUncertaintyInMeter,DarIdentifiedBy,DarTypeStatus,DarScientificName,DarKingdom,DarPhylum,DarFamily,DarGenus,DarSpecies,DarSubspecies,DarSpecificEpithet,DarInfraspecificEpithet,DarInfraspecificRank,DarScientificNameAuthor
e76becad-33cb-4c56-a22b-48aac58fa51c,NY,PreservedSpecimen,2688707,15707,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982865,2016,North America,United States of America,New York,New York Co.,"Central Park, Castle and Turtle Pond, Turtle Pond, island just east of Delacorte Theater. Between 79th and 80th Streets and between 6th and 7th Avenues",30,30,40.7798,-73.9686,GPS,,D. E. Atha,,Ageratina altissima (L.) R.M.King & H.Rob.,Plantae,Magnoliophyta,Asteraceae,Ageratina,altissima,,Species,(L.) R.M.King & H.Rob.,,
a08d493c-76a1-4aeb-9c2b-2409d413010f,NY,PreservedSpecimen,2688708,15708,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982867,2016,North America,United States of America,New York,New York Co.,"Central Park, Castle and Turtle Pond, Turtle Pond, island just east of Delacorte Theater. Between 79th and 80th Streets and between 6th and 7th Avenues",30,30,40.7798,-73.9686,GPS,,D. E. Atha,,Epipactis helleborine (L.) Crantz,Plantae,Magnoliophyta,Orchidaceae,Epipactis,helleborine,,Species,(L.) Crantz,,
841e9501-f2f3-46b2-afc9-39f49ba93b7f,NY,PreservedSpecimen,2688709,15709,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982871,2016,North America,United States of America,New York,New York Co.,"Central Park, Castle and Turtle Pond, Turtle Pond, island just east of Delacorte Theater. Between 79th and 80th Streets and between 6th and 7th Avenues",30,30,40.7798,-73.9686,GPS,,D. E. Atha,,Persicaria perfoliata (L.) H.Gross,Plantae,Magnoliophyta,Polygonaceae,Persicaria,perfoliata,,Species,(L.) H.Gross,,
3b4d5ef6-2bb4-420a-b9f9-733377b839fc,NY,PreservedSpecimen,2688710,15710,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982872,2016,North America,United States of America,New York,New York Co.,"Central Park, Castle and Turtle Pond, Turtle Pond, island just east of Delacorte Theater. Between 79th and 80th Streets and between 6th and 7th Avenues",30,30,40.7798,-73.9686,GPS,,D. E. Atha,,Alnus glutinosa (L.) Gaertn.,Plantae,Magnoliophyta,Betulaceae,Alnus,glutinosa,,Species,(L.) Gaertn.,,
94d947dd-8fe1-44ad-baba-b791c15ba8ae,NY,PreservedSpecimen,2688712,15712,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982875,2016,North America,United States of America,New York,New York Co.,"Central Park, Castle and Turtle Pond, Turtle Pond, island just east of Delacorte Theater. Between 79th and 80th Streets and between 6th and 7th Avenues",30,30,40.7798,-73.9686,GPS,,D. E. Atha,,Arctium minus (Hill) Bernh.,Plantae,Magnoliophyta,Asteraceae,Arctium,minus,,Species,(Hill) Bernh.,,
5c57f8fb-cde4-4bdc-8c4d-2d20a1290d19,NY,PreservedSpecimen,2688714,15714,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982881,2016,North America,United States of America,New York,New York Co.,"Central Park, Castle and Turtle Pond, Turtle Pond, island just east of Delacorte Theater. Between 79th and 80th Streets and between 6th and 7th Avenues",30,30,40.7798,-73.9686,GPS,,D. E. Atha,,Rudbeckia laciniata var. laciniata,Plantae,Magnoliophyta,Asteraceae,Rudbeckia,laciniata,laciniata,Variety,,,
ee7e9b32-17f6-4b4b-8d58-d4a90831c94e,NY,PreservedSpecimen,2688715,15715,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982883,2016,North America,United States of America,New York,New York Co.,"Central Park, Castle and Turtle Pond, Turtle Pond, island just east of Delacorte Theater. Between 79th and 80th Streets and between 6th and 7th Avenues",30,30,40.7798,-73.9686,GPS,,D. E. Atha,,Lonicera maackii (Rupr.) Maxim.,Plantae,Magnoliophyta,Caprifoliaceae,Lonicera,maackii,,Species,(Rupr.) Maxim.,,
e4f444a0-740e-41ce-96ae-93932b912f1b,NY,PreservedSpecimen,2688716,15716,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982887,2016,North America,United States of America,New York,New York Co.,"Central Park, Castle and Turtle Pond, Turtle Pond, island just east of Delacorte Theater. Between 79th and 80th Streets and between 6th and 7th Avenues",30,30,40.7798,-73.9686,GPS,,D. E. Atha,,Prunus yedoensis Matsum.,Plantae,Magnoliophyta,Rosaceae,Prunus,yedoensis,,Species,Matsum.,,
fc0e016f-3f89-472c-9e2c-4dbf32b0de79,NY,PreservedSpecimen,2688717,15717,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982891,2016,North America,United States of America,New York,New York Co.,"Central Park, Castle and Turtle Pond, Turtle Pond, north shore. Between 79th and 80th Streets and between 6th and 7th Avenues",30,30,40.7795,-73.9674,GPS,,D. E. Atha,,Hibiscus moscheutos L.,Plantae,Magnoliophyta,Malvaceae,Hibiscus,moscheutos,,Species,L.,,
31caf1e8-37c5-44e7-904b-a5e9dd31326e,NY,PreservedSpecimen,2920908,15908,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3299701,2016,North America,United States of America,New York,New York Co.,"Central Park. Strawberry Fields, on east slope, south of the main walk, between 71st and 72nd Streets and between 7th and 8th Avenues",27,27,40.7754,-73.9749,GPS,25,D. E. Atha,,Physalis heterophylla Nees,Plantae,Magnoliophyta,Solanaceae,Physalis,heterophylla,,Species,Nees,,
77c4a2b3-0db4-4270-b7ed-437f88d04476,NY,PreservedSpecimen,2457030,14930,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2733287,2014,North America,United States of America,New York,New York Co.,"Central Park, North Meadow, 102nd St. Cutoff. Between 101st and 102nd St. and between 6th and 7th Aves",23,23,40.7937,-73.9584,GPS,25,D. E. Atha,,Ipomoea purpurea (L.) Roth,Plantae,Magnoliophyta,Convolvulaceae,Ipomoea,purpurea,,Species,(L.) Roth,,
7e697156-3a8a-413d-9a81-1f3e7ea5bbe8,NY,PreservedSpecimen,2457031,14931,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2733291,2014,North America,United States of America,New York,New York Co.,"Central Park, North Meadow, 102nd St. Cutoff. Between 101st and 102nd St. and between 6th and 7th Aves",23,23,40.7937,-73.9584,GPS,25,D. E. Atha,,Abutilon theophrasti Medik.,Plantae,Magnoliophyta,Malvaceae,Abutilon,theophrasti,,Species,Medik.,,
1308a6a7-f674-4375-9f74-6a5a102c33d8,NY,PreservedSpecimen,2920814,CP14,R. Decandido,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3383894,2006,North America,United States of America,New York,New York Co.,Central Park,,,40.7823,-73.9654,GEOLocate Web Application,2120,D. E. Atha,,Viburnum prunifolium L.,Plantae,Magnoliophyta,Adoxaceae,Viburnum,prunifolium,,Species,L.,,
d91ccc7b-dc97-4e20-8303-58ec262aba4f,NY,PreservedSpecimen,2457029,14929,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2733265,2014,North America,United States of America,New York,New York Co.,"Central Park, North Meadow, 102nd St. Cutoff. Between 101st and 102nd St. and between 7th and 8th Aves",23,23,40.7941,-73.9594,GPS,25,D. E. Atha,,Fraxinus americana L.,Plantae,Magnoliophyta,Oleaceae,Fraxinus,americana,,Species,L.,,
467cf961-417f-4f9e-a3ef-94a51fe801e0,NY,PreservedSpecimen,2688638,15638,D. E. Atha,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978904,2016,North America,United States of America,New York,New York Co.,Central Park. North Meadow. Between 100th and 101st Streets and between 7th and 8th Avenues,35,35,40.7934,-73.9607,GPS,,D. E. Atha,,Quercus alba L.,Plantae,Magnoliophyta,Fagaceae,Quercus,alba,,Species,L.,,
